2026-06-10 14:18:17 | INFO     | faster_whisper | transcribe.py:881 | Processing audio with duration 00:31.183
2026-06-10 14:18:20 | INFO     | faster_whisper | transcribe.py:948 | Detected language 'en' with probability 0.55
2026-06-10 14:19:40 | INFO     | understanding.signal.visual_features | visual_features.py:426 | Loading YOLOv8n on cpu ...
2026-06-10 14:19:40 | INFO     | understanding.signal.visual_features | visual_features.py:428 | YOLOv8n loaded on cpu
2026-06-10 14:19:55 | INFO     | understanding.pipeline_orchestrator | pipeline_orchestrator.py:775 | Visual features from opencv: 53 frames, 0 descriptions (api_time=0.00s)
2026-06-10 14:19:55 | INFO     | backend.routers.analysis | analysis.py:63 | Pipeline done for 83dc7f2c8b4b4931, modules: 6
2026-06-10 14:32:13 | INFO     | backend.routers.analysis | analysis.py:55 | Analysis thread started for 0e6528e031454bfd (type=commercial)
2026-06-10 14:32:13 | INFO     | pyscenedetect | scene_manager.py:547 | Detecting scenes...
2026-06-10 14:32:13 | WARNING  | understanding.pipeline_orchestrator | pipeline_orchestrator.py:445 | Audio analysis failed: Cannot extract audio from D:\xiangmuji\transVideo\backend\routers\..\..\instances\0e6528e031454bfd.mp4
2026-06-10 14:32:13 | WARNING  | understanding.signal.vad_detect | vad_detect.py:58 | silero-vad load failed (EOF when reading a line) — gate disabled
2026-06-10 14:32:33 | WARNING  | understanding.pipeline_orchestrator | pipeline_orchestrator.py:433 | Audio transcription failed: tuple index out of range
2026-06-10 14:32:37 | WARNING  | understanding.signal.ocr_extract | ocr_extract.py:69 | OCR: 0/1 frames have text — may indicate OCR engine issue or text-free frames
2026-06-10 14:32:39 | WARNING  | understanding.signal.ocr_extract | ocr_extract.py:69 | OCR: 0/8 frames have text — may indicate OCR engine issue or text-free frames
2026-06-10 14:32:42 | INFO     | understanding.signal.visual_features | visual_features.py:426 | Loading YOLOv8n on cpu ...
2026-06-10 14:32:42 | INFO     | understanding.signal.visual_features | visual_features.py:428 | YOLOv8n loaded on cpu
2026-06-10 14:32:44 | INFO     | understanding.pipeline_orchestrator | pipeline_orchestrator.py:775 | Visual features from opencv: 9 frames, 0 descriptions (api_time=0.00s)
2026-06-10 14:32:44 | INFO     | understanding.pipeline_orchestrator | pipeline_orchestrator.py:833 | audio_data missing energy_curve, falling back to diff_curve
2026-06-10 14:32:44 | INFO     | backend.routers.analysis | analysis.py:63 | Pipeline done for 0e6528e031454bfd, modules: 5
